epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,294.447,0.50618,1.70755,1.00283,0.21605,0.79936,0.30933,0.27809,0.49447,1.4476,1.05183,0.067023,0.000333101,0.000333101
2,566.316,0.40387,1.55696,0.96232,0.3362,0.70491,0.33981,0.33742,0.27771,1.45577,0.99883,0.034017,0.000660436,0.000660436
3,823.504,0.35667,1.49919,0.94838,0.28591,0.65271,0.39722,0.39338,0.25287,1.28431,0.98603,0.00100505,0.000981771,0.000981771
4,1077.69,0.31864,1.46388,0.93861,0.31226,0.64531,0.42159,0.42144,0.19458,1.22372,0.98158,0.000973,0.000973,0.000973
5,1332.67,0.2899,1.43288,0.93053,0.38487,0.68452,0.46355,0.46307,0.22128,1.18451,0.98617,0.000964,0.000964,0.000964
6,1588.47,0.27461,1.41433,0.92619,0.36918,0.6647,0.49303,0.49287,0.19837,1.12327,0.98207,0.000955,0.000955,0.000955
7,1843.05,0.26804,1.39849,0.92647,0.40668,0.66539,0.50344,0.50072,0.31049,1.10198,0.99157,0.000946,0.000946,0.000946
8,2097.36,0.25283,1.38412,0.92232,0.40782,0.65095,0.50852,0.50843,0.18114,1.06911,0.97946,0.000937,0.000937,0.000937
9,2350.48,0.24501,1.3699,0.91931,0.40022,0.68074,0.52437,0.52426,0.16644,1.05656,0.97924,0.000928,0.000928,0.000928
10,2605.82,0.23657,1.35466,0.91826,0.44329,0.65276,0.54705,0.54704,0.1481,1.04053,0.97823,0.000919,0.000919,0.000919
11,2859.77,0.23111,1.34413,0.91642,0.471,0.63915,0.55217,0.552,0.17777,1.04015,0.97905,0.00091,0.00091,0.00091
12,3116.18,0.22741,1.34199,0.91623,0.46266,0.66302,0.56314,0.56314,0.17018,1.01375,0.97824,0.000901,0.000901,0.000901
13,3370.84,0.22294,1.32767,0.91536,0.48017,0.69412,0.58007,0.58,0.16917,1.02009,0.97881,0.000892,0.000892,0.000892
14,3626.92,0.21407,1.31499,0.91349,0.49492,0.63949,0.58269,0.58269,0.14233,0.99046,0.97661,0.000883,0.000883,0.000883
15,3883.34,0.2129,1.30696,0.91293,0.54332,0.639,0.61952,0.61952,0.16126,0.95222,0.97718,0.000874,0.000874,0.000874
16,4136.06,0.20951,1.30029,0.91115,0.52188,0.64901,0.62802,0.62802,0.13378,0.95573,0.97631,0.000865,0.000865,0.000865
17,4390.73,0.20631,1.29386,0.91162,0.5403,0.63718,0.61908,0.61908,0.12214,0.94753,0.97544,0.000856,0.000856,0.000856
18,4645.25,inf,1.28549,0.91132,0.50457,0.70525,0.63045,0.63045,0.16579,0.95786,0.97747,0.000847,0.000847,0.000847
19,4900.23,0.19763,1.27137,0.91016,0.52786,0.66589,0.64671,0.64671,0.13211,0.94613,0.97602,0.000838,0.000838,0.000838
20,5153.96,0.19655,1.26848,0.91007,0.54419,0.67242,0.64902,0.64902,0.16951,0.91945,0.97717,0.000829,0.000829,0.000829
21,5409.34,0.19133,1.25966,0.90809,0.5502,0.65744,0.64577,0.64577,0.15892,0.91796,0.97715,0.00082,0.00082,0.00082
22,5665.51,0.1878,1.25385,0.90808,0.56013,0.67057,0.65967,0.65967,0.16601,0.91598,0.97748,0.000811,0.000811,0.000811
23,5921.78,0.18813,1.24238,0.90745,0.56665,0.6579,0.65539,0.65539,0.1615,0.9088,0.97689,0.000802,0.000802,0.000802
24,6178.15,0.18572,1.24023,0.90754,0.56931,0.67181,0.6648,0.6648,0.15425,0.90089,0.97706,0.000793,0.000793,0.000793
25,6432.79,0.18101,1.2294,0.90612,0.58399,0.67265,0.67141,0.67141,0.13289,0.89547,0.97599,0.000784,0.000784,0.000784
26,6687.13,0.18112,1.22406,0.90642,0.60248,0.65683,0.67714,0.67714,0.14426,0.89316,0.97668,0.000775,0.000775,0.000775
27,6943.51,0.1783,1.21764,0.90568,0.56873,0.68575,0.67229,0.67229,0.1541,0.89731,0.97677,0.000766,0.000766,0.000766
28,7198.46,0.17952,1.21658,0.90635,0.58587,0.68489,0.67551,0.67551,0.15473,0.88298,0.97666,0.000757,0.000757,0.000757
29,7452.24,0.17646,1.21046,0.905,0.58987,0.67673,0.68136,0.68136,0.15156,0.88098,0.97643,0.000748,0.000748,0.000748
30,7706.73,0.17338,1.1986,0.90438,0.61888,0.65504,0.68173,0.68173,0.13524,0.87681,0.97584,0.000739,0.000739,0.000739
31,7962.15,0.17224,1.19773,0.90451,0.5992,0.68553,0.68439,0.68439,0.14842,0.87819,0.97642,0.00073,0.00073,0.00073
32,8217.25,0.17031,1.19058,0.90401,0.61906,0.67457,0.68608,0.68608,0.16222,0.87716,0.97714,0.000721,0.000721,0.000721
33,8472.05,0.16944,1.18502,0.90468,0.61804,0.68464,0.68994,0.68994,0.15187,0.8703,0.9767,0.000712,0.000712,0.000712
34,8727.42,0.16564,1.1738,0.90323,0.63657,0.65873,0.68628,0.68628,0.14259,0.87956,0.97629,0.000703,0.000703,0.000703
35,8981.3,0.16556,1.1654,0.90296,0.62878,0.66551,0.68544,0.68544,0.13094,0.88188,0.97577,0.000694,0.000694,0.000694
36,9236.63,0.16435,1.16893,0.90284,0.62529,0.67167,0.68686,0.68686,0.13207,0.88169,0.9758,0.000685,0.000685,0.000685
37,9490.99,0.16263,1.15878,0.90252,0.62756,0.67013,0.6873,0.6873,0.13338,0.88411,0.97583,0.000676,0.000676,0.000676
38,9745.6,0.15973,1.15617,0.9029,0.61735,0.6872,0.68784,0.68784,0.13269,0.88614,0.97583,0.000667,0.000667,0.000667
39,10000.4,0.15817,1.14535,0.90166,0.62755,0.66962,0.68809,0.68809,0.1323,0.88925,0.97583,0.000658,0.000658,0.000658
40,10253.8,0.1596,1.14766,0.90251,0.62556,0.67409,0.68864,0.68864,0.13373,0.89034,0.97596,0.000649,0.000649,0.000649
41,10505.5,0.15728,1.1371,0.90215,0.62066,0.67627,0.68981,0.68981,0.13221,0.89128,0.97591,0.00064,0.00064,0.00064
42,10757.9,0.15606,1.13072,0.90027,0.61177,0.68111,0.69005,0.69005,0.13332,0.89102,0.97592,0.000631,0.000631,0.000631
43,11011.1,0.15292,1.12565,0.90063,0.62122,0.67201,0.69125,0.69125,0.13435,0.89309,0.97595,0.000622,0.000622,0.000622
44,11263.9,0.15391,1.12262,0.90157,0.62224,0.6691,0.6917,0.6917,0.13197,0.89548,0.97586,0.000613,0.000613,0.000613
45,11511.8,0.15237,1.11825,0.9003,0.63271,0.66404,0.69191,0.69191,0.13032,0.89683,0.97584,0.000604,0.000604,0.000604
46,11757.6,0.1527,1.11358,0.90127,0.63466,0.66738,0.69236,0.69236,0.1295,0.89752,0.97582,0.000595,0.000595,0.000595
47,12003.3,0.14971,1.10675,0.89952,0.63489,0.66712,0.69205,0.69205,0.12708,0.89861,0.97575,0.000586,0.000586,0.000586
48,12246.8,0.14935,1.10358,0.89983,0.63691,0.66625,0.69193,0.69193,0.12659,0.90175,0.97575,0.000577,0.000577,0.000577
49,12492,0.14884,1.09588,0.89925,0.63747,0.6656,0.692,0.692,0.12652,0.90406,0.97579,0.000568,0.000568,0.000568
50,12735,0.14677,1.08912,0.89976,0.63924,0.66374,0.69199,0.69199,0.12556,0.90654,0.97578,0.000559,0.000559,0.000559
51,12977.3,0.14653,1.08733,0.89943,0.64421,0.66089,0.69216,0.69216,0.12483,0.90909,0.97578,0.00055,0.00055,0.00055
52,13218.9,0.14482,1.08219,0.90003,0.6512,0.66092,0.69237,0.69237,0.12474,0.911,0.97578,0.000541,0.000541,0.000541
53,13457.3,0.14395,1.07965,0.89886,0.64891,0.66076,0.69254,0.69254,0.12487,0.9122,0.97577,0.000532,0.000532,0.000532
54,13694.4,inf,1.0687,0.89844,0.6433,0.66003,0.69275,0.69275,0.1245,0.91363,0.97575,0.000523,0.000523,0.000523
55,13932.2,0.14286,1.06777,0.89889,0.64667,0.65727,0.6929,0.6929,0.12437,0.91521,0.97573,0.000514,0.000514,0.000514
56,14170.7,0.14343,1.06407,0.89905,0.63974,0.66179,0.69331,0.69331,0.12391,0.91706,0.97572,0.000505,0.000505,0.000505
57,14409.6,0.14188,1.0559,0.89839,0.63502,0.66702,0.69318,0.69318,0.12316,0.91902,0.9757,0.000496,0.000496,0.000496
